2020 RECS Variable and Response Codebook,,,,,
Variable,Type,Description and Labels,Response Codes,Section,
DOEID,Num,Unique identifier for each respondent,100001-118496,ADMIN,
REGIONC,Char,Census Region,"Midwest
Northeast
South
West",GEOGRAPHY,
DIVISION,Char,"Census Division, Mountain Division is divided into North and South for RECS purposes","East North Central
East South Central
Middle Atlantic
Mountain North
Mountain South
New England
Pacific
South Atlantic
West North Central
West South Central",GEOGRAPHY,
STATE_FIPS,Char,State Federal Information Processing System Code,state_dictionary!A1,GEOGRAPHY,
state_postal,Char,State Postal Code,state_dictionary!A1,GEOGRAPHY,
state_name,Char,State Name,state_dictionary!A1,GEOGRAPHY,
BA_climate,Char,Building America Climate Zone,"Cold
Hot-Dry
Hot-Humid
Marine
Mixed-Dry
Mixed-Humid
Subarctic
Very-Cold",ADMIN,
IECC_climate_code,Char,2012 International Energy Conservation Code climate code,"1A
2A
2B
3A
3B
3C
4A
4B
4C
5A
5B
5C
6A
6B
7A
7AK
7B
8AK",ADMIN,
UATYP10,Char,2010 Census Urban Type Code,"C Urban cluster
R Rural area
U Urban area",ADMIN,
HDD65,Num,"Heating degree days in 2020, base temperature 65F; Derived from the weighted temperatures of nearby weather stations",0-17383,WEATHER,
CDD65,Num,"Cooling degree days in 2020, base temperature 65F; Derived from the weighted temperatures of nearby weather stations",0-5534,WEATHER,
HDD30YR_pub,Num,"Heating degree days, 30-year average 1981-2010, base temperature 65F; Taken from nearest weather station, inoculated with random errors",0-16071,WEATHER,
CDD30YR_pub,Num,"Cooling degree days, 30-year average 1981-2010, base temperature 65F; Taken from nearest weather station, inoculated with random errors",0-4905,WEATHER,
TYPEHUQ,Num,Type of housing unit,"1 Mobile home
2 Single-family house detached from any other house 
3 Single-family house attached to one or more other houses (for example: duplex, row house, or townhome)
4 Apartment in a building with 2 to 4 units
5 Apartment in a building with 5 or more units",YOUR HOME,
CELLAR,Num,Housing unit over a basement,"1 Yes
0 No
-2 Not applicable",YOUR HOME,
CRAWL,Num,Housing unit over a crawlspace,"1 Yes
0 No
-2 Not applicable",YOUR HOME,
CONCRETE,Num,Housing unit over a concrete slab,"1 Yes
0 No
-2 Not applicable",YOUR HOME,
BASEOTH,Num,Housing unit over some other foundation,"1 Yes
0 No
-2 Not applicable",YOUR HOME,
BASEFIN,Num,Finished basement,"1 Yes
0 No
-2 Not applicable",YOUR HOME,
ATTIC,Num,Attic above the housing unit,"1 Yes
0 No
-2 Not applicable",YOUR HOME,
ATTICFIN,Num,Finished attic,"1 Yes
0 No
-2 Not applicable",YOUR HOME,
STORIES,Num,Number of stories in a single-family home,"1 One story
2 Two stories
3 Three stories
4 Four or more stories
5 Split-level
-2 Not applicable",YOUR HOME,
PRKGPLC1,Num,Attached garage,"1 Yes
0 No
-2 Not applicable",YOUR HOME,
SIZEOFGARAGE,Num,Size of attached garage,"1 One-car garage
2 Two-car garage
3 Three-or-more-car garage
-2 Not applicable",YOUR HOME,
KOWNRENT,Num,Own or rent,"1 Own
2 Rent
3 Occupy without payment of rent",YOUR HOME,
YEARMADERANGE,Num,Range when housing unit was built,"1 Before 1950
2 1950 to 1959
3 1960 to 1969
4 1970 to 1979
5 1980 to 1989
6 1990 to 1999
7 2000 to 2009
8 2010 to 2015
9 2016 to 2020",YOUR HOME,
BEDROOMS,Num,Number of bedrooms (top-coded),0 - 6 ,YOUR HOME,
NCOMBATH,Num,Number of full bathrooms (top-coded),0 - 4,YOUR HOME,
NHAFBATH,Num,Number of half bathrooms (top-coded),0 - 2,YOUR HOME,
OTHROOMS,Num,Number of other rooms (top-coded),1 - 9,YOUR HOME,
TOTROOMS,Num,"Total number of rooms in the housing unit, excluding bathrooms; a derived variable",1-15,YOUR HOME,
STUDIO,Num,Studio apartment; a derived variable,"1 Yes
0 No
-2 Not applicable",YOUR HOME,
WALLTYPE,Num,Major outside wall material,"1 Brick
2 Wood
3 Siding (aluminum, fiber cement, vinyl, or steel) 
4 Stucco
5 Shingle (composition)
6 Stone 
7 Concrete block 
99 Other",YOUR HOME,
ROOFTYPE,Num,Major roofing material; 'Not applicable' applies to apartment buildings with 5 or more units,"1 Ceramic or clay tiles
2 Wood shingles/shakes
3 Metal
4 Slate or synthetic slate
5 Shingles (composition or asphalt)
6 Concrete tiles
99 Other
-2 Not applicable",YOUR HOME,
HIGHCEIL,Num,Any high ceilings; 'Not applicable' applies to mobile homes,"1 Yes
0 No
-2 Not applicable",YOUR HOME,
DOOR1SUM,Num,Number of sliding glass or French doors,0 - 9,YOUR HOME,
WINDOWS,Num,Number of windows,"1 1 or 2 windows
2 3 to 5 windows
3 6 to 9 windows
4 10 to 15 windows
5 16 to 19 windows
6 20 to 29 windows
7 30 or more windows",YOUR HOME,
TYPEGLASS,Num,Type of glass in most windows,"1 Single-pane glass
2 Double-pane glass
3 Triple-pane glass",YOUR HOME,
ORIGWIN,Num,Mostly original windows in home,"1 Yes
0 No",YOUR HOME,
WINFRAME,Num,Window frame material,"1 Wood
2 Metal (aluminum)
3 Vinyl
4 Composite
5 Fiberglass",YOUR HOME,
TREESHAD,Num,Any large shade trees,"1 Yes
0 No",YOUR HOME,
ADQINSUL,Num,Level of insulation; respondent-reported,"1 Well insulated
2 Adequately insulated
3 Poorly insulated
4 Not insulated",YOUR HOME,
DRAFTY,Num,How often home is drafty,"1 All the time
2 Most of the time
3 Some of the time
4 Never",YOUR HOME,
UGASHERE,Num,Natural gas available in neighborhood; respondent-reported,"1 Yes
0 No",YOUR HOME,
SWIMPOOL,Num,Has swimming pool,"1 Yes
0 No
-2 Not applicable",YOUR HOME,
MONPOOL,Num,Months swimming pool used in the past year,"0 - 12
-2  Not applicable",YOUR HOME,
POOLPUMP,Num,Has variable-speed pool pump,"1 Yes
0 No
-2 Not applicable",YOUR HOME,
FUELPOOL,Num,Fuel used for heating swimming pool,"0 None, swimming pool is not heated
5 Electricity
1 Natural gas from underground pipes
2 Propane (bottled gas)
3 Fuel oil
99 Other 
-2 Not applicable",YOUR HOME,
RECBATH,Num,Have hot tub,"1 Yes
0 No",YOUR HOME,
MONTUB,Num,Months hot tub used in the past year,"0 - 12
-2  Not applicable",YOUR HOME,
FUELTUB,Num,Fuel used for heating hot tub,"5 Electricity
1 Natural gas from underground pipes
2 Propane (bottled gas)
3 Fuel oil
99 Other 
-2 Not applicable",YOUR HOME,
NUMFRIG,Num,Number of refrigerators used,0 - 9,APPLIANCES,
SIZRFRI1,Num,Size of most-used refrigerator,"1 Half-size or compact
2 Small (17.5 cubic feet or less)
3 Medium (17.6 to 22.5 cubic feet)
4 Large (22.6 to 29.5 cubic feet)
5 Very large (bigger than 29.5 cubic feet)
-2 Not applicable",APPLIANCES,
TYPERFR1,Num,Door arrangement of most-used refrigerator,"1 One door
2 Two doors, freezer next to the refrigerator
3 Two doors, freezer above the refrigerator
4 Two doors, freezer below the refrigerator
5 Three or more doors 
-2 Not applicable",APPLIANCES,
AGERFRI1,Num,Age of most-used refrigerator,"1 Less than 2 years old
2 2 to 4 years old
3 5 to 9 years old
4 10 to 14 years old
5 15 to 19 years old
6 20 or more years old
-2 Not applicable",APPLIANCES,
ICE,Num,Have through-the-door ice on most-used refrigerator,"1 Yes
0 No
-2 Not applicable",APPLIANCES,
SIZRFRI2,Num,Size of second-most-used refrigerator,"1 Half-size or compact
2 Small (17.5 cubic feet or less)
3 Medium (17.6 to 22.5 cubic feet)
4 Large (22.6 to 29.5 cubic feet)
5 Very large (bigger than 29.5 cubic feet)
-2 Not applicable",APPLIANCES,
